hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_month_num,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,latitude,longitude
City Hotel,0,14,2022,September,2,31,29,3,13,1,0,0,BB,USA,Online TA,Direct,0,1,0,B,G,3,No Deposit,10,6,23,Transient,68.64924962700364,2,0,Check-Out,2022-07-22,31.2256991551434,121.57363924517222
City Hotel,0,215,2023,October,4,45,7,1,12,4,2,1,FB,PRT,Online TA,Direct,0,2,0,E,B,4,No Deposit,15,,12,Transient,432.99058593956596,1,3,Check-Out,2022-03-17,31.26221252245161,121.40506163433052
Resort Hotel,0,144,2022,October,10,35,27,4,12,3,0,1,HB,PRT,Corporate,Corporate,0,0,4,F,H,1,No Deposit,14,,11,Transient,275.4835862461424,0,4,Check-Out,2022-04-29,31.17571107660238,121.42038084725962
City Hotel,0,276,2022,December,2,45,7,2,9,4,1,1,FB,ITA,Corporate,Corporate,0,2,2,F,F,2,No Deposit,9,,28,Transient,80.98542738002583,2,0,Check-Out,2023-10-24,31.115358621178085,121.4132302426252
City Hotel,0,137,2023,May,7,2,23,2,13,4,0,1,SC,GBR,Corporate,Direct,0,1,3,G,A,0,No Deposit,3,7,18,Transient,263.092735165606,0,0,Check-Out,2023-10-14,31.23709063964733,121.54047253258697
City Hotel,1,117,2022,October,9,9,29,1,0,2,2,1,SC,CHN,Groups,TA/TO,0,2,0,G,D,3,No Deposit,6,,12,Transient,439.83339146261943,1,3,Canceled,2022-01-06,31.10002029621028,121.43733445513396
Resort Hotel,1,307,2022,June,8,13,26,4,0,2,1,0,HB,PRT,Online TA,Direct,0,2,1,C,D,2,No Deposit,7,,9,Transient,126.00910517818546,2,1,Canceled,2022-03-09,31.249942633829736,121.51109574171562
City Hotel,1,271,2022,December,6,3,19,3,2,3,3,0,HB,GBR,Online TA,TA/TO,0,2,3,F,A,0,No Deposit,2,,5,Transient-Party,422.58889955483545,0,1,Canceled,2022-07-29,31.17034615674932,121.49783729993366
Resort Hotel,0,262,2023,March,1,39,16,4,8,1,0,0,FB,GBR,Offline TA,Direct,0,1,3,B,C,3,No Deposit,6,,25,Transient,81.9004541756896,2,2,Check-Out,2023-06-14,31.237449228778214,121.47507515670144
Resort Hotel,0,62,2022,August,3,34,1,4,10,2,3,0,FB,DEU,Offline TA,Direct,0,2,3,D,C,2,No Deposit,13,,13,Transient-Party,395.19472542896165,2,1,Check-Out,2023-07-22,31.119582496317616,121.53646789879693
Resort Hotel,1,13,2022,April,10,33,10,1,12,3,2,1,BB,USA,Online TA,Direct,0,0,1,A,F,3,No Deposit,14,,4,Transient,405.6606707972563,1,1,Canceled,2022-02-28,31.235078557084936,121.55053440618187
Resort Hotel,0,212,2022,April,7,26,21,2,14,2,2,0,SC,CHN,Groups,Direct,0,1,4,H,E,1,No Deposit,13,,16,Transient-Party,489.0299399954603,1,4,Check-Out,2022-12-15,31.173452923038347,121.54519852713196
City Hotel,0,108,2023,May,9,44,1,1,14,1,3,1,FB,PRT,Offline TA,TA/TO,0,1,3,F,E,0,Non Refund,1,8,4,Transient,411.01599632272286,1,4,Check-Out,2022-05-31,31.199004506880907,121.45096967906828
City Hotel,0,145,2023,December,6,31,19,1,10,4,3,1,HB,GBR,Offline TA,Direct,0,0,2,E,G,0,No Deposit,15,,18,Transient-Party,432.9042445730502,2,4,Check-Out,2022-02-19,31.1626206417435,121.50463649745889
Resort Hotel,0,28,2022,November,3,39,12,2,1,4,3,0,BB,ESP,Direct,Direct,0,2,1,H,F,2,Refundable,18,5,2,Transient,426.655812381965,2,0,Check-Out,2023-06-21,31.141517807552436,121.48517048586956
City Hotel,0,29,2022,August,7,52,7,2,2,2,3,0,BB,USA,Groups,Direct,0,1,1,B,D,3,Refundable,5,,6,Transient,245.16362796213087,1,3,Check-Out,2022-08-26,31.2795033373124,121.49985827913626
Resort Hotel,1,185,2022,January,8,18,13,3,5,1,0,1,SC,CHN,Offline TA,Corporate,0,1,3,A,C,3,No Deposit,4,,3,Transient,429.6038652127837,1,4,Canceled,2023-11-13,31.299359260686753,121.58611003658861
Resort Hotel,0,92,2022,November,3,23,20,1,12,4,3,0,SC,ITA,Online TA,Direct,0,2,0,E,D,2,No Deposit,12,,24,Transient,211.41730332208172,0,3,Check-Out,2022-10-08,31.171555295191265,121.40378060536698
City Hotel,0,68,2023,February,9,15,27,0,9,2,3,0,SC,PRT,Offline TA,Direct,0,1,2,B,C,0,No Deposit,2,,14,Transient,71.62269780751718,1,1,Check-Out,2022-09-05,31.204007030715644,121.47833002284933
Resort Hotel,0,101,2022,June,8,44,23,2,3,1,3,0,FB,ESP,Groups,TA/TO,0,1,0,C,E,2,No Deposit,6,,6,Transient,91.407653451922,1,2,Check-Out,2023-09-30,31.20472298621336,121.513350620366
Resort Hotel,0,104,2023,April,11,24,5,4,0,2,2,0,HB,USA,Offline TA,TA/TO,0,2,1,F,A,2,No Deposit,11,,8,Transient,429.6052598615565,2,4,Check-Out,2023-12-23,31.106162558777704,121.5599052168523
City Hotel,0,32,2023,September,12,49,17,3,4,1,2,0,BB,ESP,Offline TA,Direct,0,0,2,G,A,2,No Deposit,4,,1,Transient,118.44533414823164,1,4,Check-Out,2023-03-12,31.274960001965475,121.48765108087342
City Hotel,1,83,2022,September,9,2,12,4,5,3,1,0,HB,CHN,Offline TA,Direct,0,1,3,E,D,3,No Deposit,6,,8,Transient,432.8454680779867,2,0,Canceled,2022-01-01,31.2045746352463,121.5861936688055
Resort Hotel,1,276,2022,April,10,7,19,1,8,2,2,1,SC,DEU,Online TA,Corporate,0,2,2,A,B,1,No Deposit,16,,14,Transient,342.81010924422026,1,4,Canceled,2022-10-31,31.279450732268284,121.40518047359102
Resort Hotel,0,39,2023,January,4,45,21,1,8,2,3,1,HB,USA,Offline TA,TA/TO,0,2,3,H,C,0,No Deposit,20,,1,Transient,232.6209615731438,1,2,Check-Out,2022-03-24,31.269307833195917,121.56048434841239
City Hotel,0,203,2022,March,6,31,19,2,0,2,3,0,HB,DEU,Online TA,TA/TO,0,2,2,D,C,4,No Deposit,5,,27,Transient,479.0510981313783,0,1,No-Show,2022-06-26,31.179031880160725,121.49670445702137
City Hotel,1,21,2022,December,9,39,12,3,3,2,3,1,SC,CHN,Groups,TA/TO,0,2,2,E,A,0,No Deposit,7,10,8,Transient,234.97815966405557,0,1,Canceled,2022-04-04,31.116377647589733,121.58685488993302
Resort Hotel,0,323,2023,March,4,33,6,4,4,2,0,1,BB,DEU,Offline TA,TA/TO,0,1,1,H,C,2,No Deposit,12,,25,Transient-Party,70.22191526108554,1,1,Check-Out,2023-04-16,31.19034720570217,121.51823182379198
Resort Hotel,1,296,2022,November,3,12,21,4,2,1,0,0,SC,ITA,Offline TA,TA/TO,0,1,0,E,C,1,No Deposit,13,,0,Transient,397.48951447647016,2,1,Canceled,2022-11-29,31.284623379467586,121.47325173655558
City Hotel,0,128,2023,October,12,26,30,0,1,4,0,1,HB,USA,Corporate,Direct,0,1,1,G,A,3,No Deposit,14,,15,Transient,442.8936111918732,2,1,Check-Out,2023-09-28,31.17249611685724,121.42184562299938
Resort Hotel,0,207,2022,November,7,46,25,3,1,1,2,0,BB,FRA,Offline TA,Direct,1,1,2,C,H,3,No Deposit,16,,27,Transient-Party,66.34822321611188,1,4,Check-Out,2022-08-27,31.11877335685766,121.42740340567356
Resort Hotel,0,80,2022,May,4,19,12,1,14,3,2,0,SC,DEU,Groups,TA/TO,0,1,0,A,C,3,No Deposit,1,,11,Transient,88.30598226710259,1,1,Check-Out,2022-12-17,31.242075918035166,121.44114419728918
Resort Hotel,1,242,2022,August,7,3,24,4,10,1,0,1,FB,DEU,Corporate,Corporate,0,2,1,B,B,2,Refundable,17,,20,Transient-Party,114.49717681094072,0,2,Canceled,2022-04-28,31.17250003350303,121.46028547770774
Resort Hotel,0,182,2023,December,5,39,11,0,4,3,2,0,HB,CHN,Groups,Corporate,0,0,4,C,D,2,No Deposit,15,,28,Transient,420.95191823966434,2,0,Check-Out,2022-07-17,31.117487381512934,121.5110059254916
City Hotel,1,4,2023,August,6,38,28,0,1,3,3,1,SC,DEU,Groups,Direct,0,1,3,E,A,0,No Deposit,17,,23,Transient-Party,339.674163349156,1,4,Canceled,2023-08-05,31.226417391701037,121.40215083284866
City Hotel,1,198,2023,July,10,25,26,1,12,3,2,1,SC,GBR,Offline TA,Corporate,0,0,4,C,H,0,No Deposit,4,,27,Transient,164.27348414650527,0,3,Canceled,2023-05-16,31.143495203583505,121.46019169235184
Resort Hotel,0,351,2023,May,10,20,16,1,0,1,0,1,FB,DEU,Offline TA,Direct,0,0,0,F,C,4,No Deposit,10,,2,Contract,350.6244941873013,1,3,Check-Out,2022-08-27,31.179560601224832,121.53880315445114
City Hotel,0,131,2022,August,11,16,19,3,6,1,2,0,FB,GBR,Groups,Direct,0,0,0,H,B,0,Refundable,17,2,24,Transient,135.86372125157294,1,1,Check-Out,2023-01-30,31.166018726499143,121.40800741593401
Resort Hotel,0,253,2022,August,5,11,9,3,13,1,0,0,HB,ESP,Online TA,Corporate,0,1,0,G,B,2,No Deposit,13,,16,Contract,446.17274146426513,1,4,Check-Out,2022-03-02,31.168389638447998,121.55400537628262
Resort Hotel,1,167,2022,May,5,12,30,3,12,3,2,1,FB,ITA,Corporate,Direct,0,0,2,H,D,0,No Deposit,1,,28,Group,223.10878953539458,2,1,Canceled,2023-03-02,31.25806509460975,121.53169503832788
Resort Hotel,1,286,2023,May,11,35,2,2,12,4,0,1,SC,ESP,Corporate,Direct,0,0,4,F,G,0,No Deposit,1,,5,Transient,128.52158219804562,1,0,Canceled,2022-12-04,31.196107025783455,121.44725915517068
City Hotel,0,243,2023,June,10,27,13,4,14,2,0,0,HB,DEU,Online TA,Corporate,0,1,2,C,D,4,No Deposit,14,,19,Transient,372.0021186228302,2,4,Check-Out,2022-06-15,31.282140273974637,121.52188004351535
Resort Hotel,0,137,2023,June,7,19,30,4,0,3,3,1,FB,USA,Offline TA,Corporate,1,2,4,C,C,0,Refundable,3,,23,Group,182.34870440934793,2,3,Check-Out,2023-05-13,31.15179004114154,121.44724466455916
Resort Hotel,0,271,2023,December,3,22,5,4,9,2,2,0,HB,FRA,Online TA,TA/TO,0,0,3,B,F,0,No Deposit,2,,13,Transient,205.56739114013834,2,0,Check-Out,2023-07-18,31.241669057418648,121.56583967147823
Resort Hotel,0,218,2023,March,12,50,6,4,4,2,2,0,FB,ITA,Offline TA,Direct,0,1,1,H,F,4,Refundable,5,,17,Transient,316.10323257121934,1,3,Check-Out,2022-03-16,31.25264744461115,121.51151860040532
City Hotel,0,217,2022,June,4,2,25,4,9,1,3,1,SC,ITA,Groups,TA/TO,0,1,2,C,D,2,No Deposit,3,,29,Transient-Party,52.564922855065575,0,3,Check-Out,2023-02-26,31.25055826498634,121.41426922662161
City Hotel,1,41,2022,November,7,28,18,1,6,4,1,0,HB,FRA,Corporate,Corporate,0,2,2,H,A,2,No Deposit,10,,17,Transient,419.7062202162538,2,0,Canceled,2022-05-10,31.25314576990615,121.4461995684637
City Hotel,0,54,2022,August,1,10,22,2,7,3,1,1,FB,CHN,Online TA,Direct,0,0,3,C,A,3,No Deposit,14,,6,Group,166.56584958599376,1,2,Check-Out,2022-09-13,31.297118752517612,121.44671679063573
Resort Hotel,0,201,2023,May,6,6,16,1,12,1,0,1,BB,ESP,Groups,Corporate,0,2,0,F,E,3,No Deposit,,,16,Transient,116.62583339232872,2,3,Check-Out,2023-02-19,31.143005805588274,121.52939610736212
City Hotel,0,213,2022,August,11,36,21,1,2,3,2,1,HB,CHN,Groups,Corporate,0,2,0,E,C,4,No Deposit,19,,17,Transient,222.31116380692552,0,2,Check-Out,2022-04-23,31.11273922716389,121.43689630139582
Resort Hotel,0,91,2023,April,11,5,6,1,9,1,1,1,SC,FRA,Offline TA,Direct,0,2,3,A,G,4,No Deposit,2,,18,Transient,481.0583588444727,2,4,Check-Out,2022-03-17,31.126147971017062,121.49767377018516
Resort Hotel,0,153,2022,October,7,7,12,3,6,3,0,0,SC,GBR,Online TA,Direct,0,2,4,B,A,3,No Deposit,11,2,4,Transient,75.55627415455841,0,0,Check-Out,2022-03-17,31.12650899254215,121.41611237631129
City Hotel,0,52,2023,January,9,49,30,1,13,3,2,1,FB,USA,Direct,Direct,1,0,2,A,G,0,No Deposit,10,,29,Transient,181.2916410890377,0,4,Check-Out,2022-11-11,31.200691335260974,121.42031354488944
City Hotel,0,236,2022,November,9,40,16,1,14,4,3,0,HB,CHN,Groups,Direct,1,0,3,G,H,2,No Deposit,16,,3,Contract,77.59852510996316,2,2,Check-Out,2023-12-02,31.245006987275296,121.49317887233516
Resort Hotel,0,322,2023,April,10,5,3,3,0,1,3,1,HB,FRA,Online TA,Direct,0,0,0,H,F,4,No Deposit,8,,11,Transient,398.01303809548494,2,3,No-Show,2023-05-25,31.15271706813633,121.44717333540301
Resort Hotel,1,28,2022,April,10,32,12,2,1,2,3,1,BB,USA,Direct,TA/TO,0,0,4,F,C,4,No Deposit,6,,25,Transient,457.1193139622708,1,4,Canceled,2022-10-19,31.263918466169947,121.41051933155572
Resort Hotel,1,274,2022,October,12,23,24,2,8,3,2,1,SC,GBR,Direct,Direct,0,0,3,H,A,3,Non Refund,18,,28,Transient,343.435015134094,1,4,Canceled,2023-06-17,31.247969332954348,121.44160826947935
City Hotel,1,195,2022,April,6,32,12,0,6,4,3,1,BB,ESP,Corporate,TA/TO,0,1,4,E,C,2,No Deposit,3,,23,Contract,366.2791200871986,1,2,Canceled,2022-03-23,31.12989993198479,121.45214284705779
City Hotel,1,286,2022,July,8,8,21,2,10,2,0,1,FB,PRT,Direct,TA/TO,0,1,4,C,D,1,No Deposit,17,,10,Transient,454.68978468313657,1,4,Canceled,2022-07-19,31.271942842532322,121.5477253419998
City Hotel,0,40,2022,April,2,38,3,1,1,2,0,0,BB,USA,Direct,TA/TO,1,2,3,C,C,4,No Deposit,4,,11,Transient,79.02431380836369,1,4,Check-Out,2022-01-19,31.287314082858902,121.48780089734615
Resort Hotel,0,137,2022,March,8,20,19,2,4,4,1,1,HB,GBR,Corporate,Direct,1,2,1,F,G,2,No Deposit,,,6,Transient,57.101682461419685,1,0,Check-Out,2023-02-04,31.265022155484978,121.53997921795661
City Hotel,0,181,2023,April,5,42,21,4,11,2,2,1,FB,ITA,Offline TA,Direct,1,1,0,E,A,1,No Deposit,20,,24,Transient,216.51380208263794,1,2,Check-Out,2022-12-03,31.24475259537752,121.54896075281317
Resort Hotel,0,17,2023,May,3,18,28,2,7,3,3,1,FB,DEU,Online TA,TA/TO,0,1,4,C,E,4,Refundable,12,,3,Transient,219.59211733666595,0,2,Check-Out,2023-03-27,31.107144202196306,121.4575693600861
Resort Hotel,0,341,2022,July,10,48,5,3,11,3,2,0,SC,FRA,Online TA,TA/TO,0,1,0,C,D,3,No Deposit,8,,20,Transient,184.1735468480397,2,4,Check-Out,2023-01-07,31.15491957595794,121.46424675575031
City Hotel,0,23,2023,January,2,36,3,1,3,1,3,0,HB,DEU,Offline TA,TA/TO,0,1,0,H,A,1,No Deposit,11,,4,Transient,236.58360865519145,0,4,Check-Out,2023-11-11,31.24553967094077,121.44817936103613
City Hotel,0,195,2023,July,6,16,23,3,4,3,2,0,FB,DEU,Corporate,TA/TO,0,1,0,E,E,3,No Deposit,6,,21,Transient,94.80489517584635,2,1,Check-Out,2022-01-03,31.17577629909249,121.53429336719599
Resort Hotel,0,156,2023,January,6,6,10,3,8,1,2,1,BB,DEU,Groups,Direct,0,2,3,F,E,1,No Deposit,2,,2,Transient,398.3960763686905,0,2,Check-Out,2022-11-10,31.184018680365398,121.52539836679085
City Hotel,0,272,2022,September,5,28,3,4,9,2,0,1,SC,USA,Online TA,Direct,0,0,1,H,G,0,No Deposit,2,,7,Contract,90.47075422757109,2,0,Check-Out,2022-03-01,31.27437805579814,121.42464651402577
Resort Hotel,0,233,2023,May,5,3,8,3,11,2,0,1,HB,DEU,Corporate,TA/TO,0,1,2,E,A,2,Refundable,6,,9,Contract,202.58115569746067,0,4,Check-Out,2023-11-24,31.158642753763427,121.43968824274977
City Hotel,0,219,2023,November,3,14,12,4,14,3,3,1,HB,USA,Corporate,Corporate,0,2,4,D,F,3,No Deposit,6,3,5,Transient,112.50689708599441,2,3,Check-Out,2023-10-07,31.25375706382838,121.42356170550785
City Hotel,0,66,2023,September,8,32,17,3,14,3,0,1,FB,FRA,Groups,Direct,0,0,3,C,G,3,Refundable,3,,15,Transient,281.73209743160464,1,2,Check-Out,2022-04-18,31.1011112746215,121.56132043742494
Resort Hotel,0,216,2023,September,9,41,27,3,7,2,1,1,HB,PRT,Offline TA,Direct,0,0,2,B,A,3,No Deposit,7,,17,Transient,154.73400864685706,1,2,Check-Out,2023-01-26,31.219636813547254,121.59089008391918
City Hotel,0,147,2022,May,1,5,18,0,2,4,3,1,FB,DEU,Direct,Direct,1,1,2,E,H,2,No Deposit,12,,9,Contract,323.8673380115332,2,1,Check-Out,2022-11-12,31.295621998804787,121.45046342920344
Resort Hotel,0,251,2023,September,5,14,18,4,13,2,3,1,BB,USA,Corporate,TA/TO,0,0,2,G,H,0,No Deposit,20,,15,Transient-Party,454.9507644976894,1,2,Check-Out,2022-12-17,31.1417894377748,121.40099165948442
City Hotel,0,258,2023,January,12,13,23,2,12,4,1,1,BB,DEU,Groups,Corporate,0,2,1,F,G,2,Refundable,15,,7,Transient,457.107610303903,2,0,Check-Out,2023-03-06,31.127842726055487,121.57632223885972
City Hotel,0,1,2022,October,5,22,15,0,3,4,3,0,BB,ITA,Online TA,Corporate,0,0,0,H,B,2,Non Refund,17,,17,Contract,89.02708153256198,2,1,Check-Out,2023-06-07,31.219627349747057,121.56185336639223
City Hotel,0,153,2023,July,12,15,12,0,13,2,3,1,FB,GBR,Offline TA,Direct,0,0,1,C,A,2,Refundable,13,,6,Transient,381.58390057039435,0,2,Check-Out,2022-06-21,31.281644546135464,121.49466568337087
Resort Hotel,0,116,2023,March,6,15,13,2,5,3,3,1,BB,ITA,Offline TA,TA/TO,0,0,0,B,F,4,No Deposit,7,,21,Transient,441.172983438284,1,0,Check-Out,2023-08-08,31.291536573663247,121.40600739388714
Resort Hotel,1,326,2023,October,9,34,21,0,0,3,3,0,FB,DEU,Corporate,TA/TO,0,2,3,A,F,0,Refundable,2,,27,Transient,305.57859735901303,2,2,Canceled,2023-05-25,31.226879488397646,121.59948767173827
City Hotel,0,108,2023,February,6,24,21,3,0,4,1,0,SC,CHN,Groups,Corporate,0,1,1,H,H,3,No Deposit,4,,4,Transient,85.45723170078938,2,1,Check-Out,2022-06-05,31.116533755513036,121.54917948750168
Resort Hotel,1,161,2022,January,3,18,22,3,5,2,0,1,BB,DEU,Offline TA,Corporate,0,1,1,C,H,0,No Deposit,18,,8,Transient,289.89916544617773,2,0,Canceled,2023-02-17,31.156862200814274,121.55359565426969
City Hotel,0,54,2023,November,1,14,19,4,0,2,3,0,SC,FRA,Online TA,TA/TO,0,2,2,B,H,2,No Deposit,19,,8,Transient,133.3622836959766,2,3,Check-Out,2022-09-22,31.113670464756062,121.53825296382686
Resort Hotel,0,217,2023,December,3,1,8,1,5,4,1,0,FB,PRT,Direct,TA/TO,1,2,3,H,E,0,Refundable,4,,11,Group,211.82261970939524,1,1,Check-Out,2022-01-15,31.29799917916806,121.55034433724936
Resort Hotel,1,205,2023,May,6,22,23,2,3,3,3,1,BB,PRT,Online TA,Direct,0,2,2,E,C,3,No Deposit,4,7,15,Transient,407.97602881558964,2,4,Canceled,2022-08-06,31.276917658297258,121.59295500821985
Resort Hotel,0,126,2023,April,8,41,6,4,12,3,3,1,HB,GBR,Offline TA,Direct,0,0,4,H,B,3,Refundable,1,,9,Transient,95.3032641240759,1,2,No-Show,2022-02-08,31.296345698040977,121.4127449280274
City Hotel,1,250,2023,May,10,9,6,2,13,4,1,1,SC,FRA,Corporate,Direct,0,1,0,E,G,1,No Deposit,19,,16,Transient,196.22143703800197,0,0,Canceled,2022-10-19,31.274081891053584,121.47361456781502
Resort Hotel,0,45,2023,June,11,13,4,3,5,2,3,0,HB,PRT,Corporate,TA/TO,1,0,1,D,D,4,Non Refund,6,,5,Transient,284.93241970822476,1,2,Check-Out,2023-08-12,31.252563488227846,121.46624393087913
City Hotel,0,117,2022,August,8,43,2,2,12,4,1,1,BB,GBR,Corporate,TA/TO,1,2,0,B,F,2,Refundable,,,20,Transient,321.74060688772556,2,1,Check-Out,2022-07-09,31.25662803982461,121.41836874493325
Resort Hotel,0,127,2023,August,3,22,13,0,5,3,2,1,FB,FRA,Direct,Corporate,0,1,0,F,C,2,No Deposit,12,,13,Transient-Party,120.14710104145702,0,1,Check-Out,2022-06-13,31.230711516430084,121.50371047728095
City Hotel,0,289,2022,October,11,47,17,2,4,1,2,1,BB,ESP,Corporate,Direct,0,2,4,G,F,1,No Deposit,19,,10,Transient,434.4118228681887,0,2,Check-Out,2022-08-26,31.1808614900607,121.48919336746108
Resort Hotel,1,202,2022,August,2,7,23,2,9,1,1,1,FB,USA,Direct,Corporate,0,1,3,G,D,2,No Deposit,5,,27,Transient,347.31944602881146,2,2,Canceled,2023-01-24,31.136334722561212,121.43403513951009
City Hotel,0,82,2022,March,6,38,14,0,2,4,0,1,FB,DEU,Direct,Corporate,0,1,4,E,D,0,Non Refund,13,,13,Transient,178.33936630298425,0,0,Check-Out,2022-12-08,31.224830667880063,121.53656283655124
Resort Hotel,0,164,2022,December,5,6,9,3,10,4,2,1,FB,DEU,Online TA,Direct,0,0,0,E,G,0,No Deposit,11,,16,Transient,114.62713612727453,1,3,Check-Out,2023-04-10,31.247125542858026,121.4832689753818
Resort Hotel,0,201,2022,April,3,13,14,2,12,1,3,1,BB,DEU,Online TA,Direct,0,2,1,B,H,0,No Deposit,1,,25,Contract,349.30797467775744,1,2,Check-Out,2023-04-09,31.217254883253286,121.56214959525293
Resort Hotel,0,304,2023,August,4,45,11,0,14,4,3,0,SC,ITA,Direct,TA/TO,1,1,3,D,D,3,No Deposit,11,,5,Transient-Party,277.01768369464855,0,1,Check-Out,2022-12-20,31.2492000720296,121.54794485782082
City Hotel,1,12,2023,July,1,30,27,3,6,4,2,1,SC,ITA,Corporate,Direct,0,0,3,F,A,2,No Deposit,12,,8,Transient,450.88397289853447,2,1,Canceled,2022-07-12,31.179115518533507,121.58291116628467
Resort Hotel,0,190,2022,February,9,37,17,4,9,4,3,0,FB,GBR,Corporate,Corporate,1,1,1,G,C,1,Refundable,11,,10,Transient,455.01758398175957,2,4,Check-Out,2022-11-12,31.241025511835357,121.46238890387508
Resort Hotel,1,291,2022,January,11,6,13,2,14,1,0,0,BB,PRT,Online TA,Direct,0,1,3,B,G,1,No Deposit,10,,11,Contract,151.0656271684269,2,2,Canceled,2022-10-19,31.204175295189522,121.40863481175968
City Hotel,0,231,2022,April,6,21,2,1,4,1,1,1,FB,USA,Online TA,Direct,0,2,4,D,A,0,No Deposit,12,,1,Contract,131.33454644809643,0,0,No-Show,2022-01-18,31.235879851995755,121.46999727921576
City Hotel,0,76,2022,August,10,24,16,4,9,2,0,1,BB,USA,Online TA,Direct,0,2,2,B,C,2,No Deposit,3,,0,Transient,431.1876382651691,1,3,Check-Out,2023-02-06,31.11547736241427,121.44086531960541
City Hotel,1,290,2023,February,11,51,11,0,6,3,3,1,SC,FRA,Direct,Corporate,0,1,4,G,B,0,No Deposit,8,,25,Transient-Party,90.85765752932741,1,2,Canceled,2022-05-16,31.111906104526092,121.43767685239804
Resort Hotel,0,134,2023,November,1,20,29,1,8,2,3,1,SC,CHN,Corporate,Corporate,0,1,4,H,C,1,No Deposit,17,,8,Contract,237.51504868618656,2,4,No-Show,2023-03-15,31.293969142267898,121.54515951331007
Resort Hotel,1,7,2022,October,8,1,10,4,14,4,0,0,FB,ITA,Direct,Corporate,0,2,0,F,C,4,No Deposit,13,5,27,Transient,310.1675610839072,1,0,Canceled,2023-11-16,31.216083066545377,121.4439029299184
Resort Hotel,0,53,2022,November,10,23,28,4,7,4,2,0,BB,ITA,Corporate,Corporate,0,0,3,E,A,0,Refundable,13,,28,Transient,131.0043471119128,2,2,Check-Out,2022-10-13,31.22760332429453,121.50838462765826
Resort Hotel,0,31,2022,August,4,51,11,4,12,3,0,0,FB,ITA,Online TA,Corporate,0,2,1,A,F,4,No Deposit,3,,14,Contract,223.9211095047688,1,2,Check-Out,2023-01-06,31.20155511769857,121.5095264560813
Resort Hotel,1,223,2022,September,2,7,17,1,5,1,1,0,SC,CHN,Direct,Corporate,1,2,1,E,C,3,No Deposit,16,,21,Transient,327.48870776163284,2,2,Canceled,2023-12-18,31.237832719881933,121.42098234435201
