hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_month_num,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,latitude,longitude,arrival_date,arrival_dayofweek,arrival_quarter,arrival_is_weekend,total_nights,weekend_ratio,total_guests,has_children,lead_time_group,avg_price_month_hotel,price_ratio,customer_Contract,customer_Group,customer_Transient,customer_Transient-Party,market_Corporate,market_Direct,market_Groups,market_Offline TA,market_Online TA,is_returning_customer,season,season_autumn,season_spring,season_summer,season_winter,is_peak_season,total_price
City Hotel,0,14,2022,September,9,31,29,3,13,1,0,0,BB,USA,Online TA,Direct,0,1,0,B,G,3,No Deposit,10.0,6.0,23,Transient,68.64924962700364,2,0,Check-Out,2022-07-22,31.2256991551434,121.57363924517222,2022-09-29,3,3,0,16,0.1875,1,0,one_week,273.82474692349155,0.25070506007327636,False,False,True,False,False,False,False,False,True,0,autumn,True,False,False,False,0,1098.3879940320583
City Hotel,0,215,2023,October,10,45,7,1,12,4,2,1,FB,PRT,Online TA,Direct,0,2,0,E,B,4,No Deposit,15.0,5.0,12,Transient,432.990585939566,1,3,Check-Out,2022-03-17,31.26221252245161,121.40506163433052,2023-10-07,5,4,1,13,0.07692307692307693,7,1,six_months,289.2942120238467,1.496713615217004,False,False,True,False,False,False,False,False,True,0,autumn,True,False,False,False,0,5628.877617214358
Resort Hotel,0,144,2022,October,10,35,27,4,12,3,0,1,HB,PRT,Corporate,Corporate,0,0,4,F,H,1,No Deposit,14.0,5.0,11,Transient,275.4835862461424,0,4,Check-Out,2022-04-29,31.17571107660238,121.42038084725962,2022-10-27,3,4,0,16,0.25,4,1,three_months,281.86645522625616,0.9773549889965083,False,False,True,False,True,False,False,False,False,0,autumn,True,False,False,False,0,4407.7373799382785
City Hotel,0,276,2022,December,12,45,7,2,9,4,1,1,FB,ITA,Corporate,Corporate,0,2,2,F,F,2,No Deposit,9.0,5.0,28,Transient,80.98542738002583,2,0,Check-Out,2023-10-24,31.115358621178085,121.4132302426252,2022-12-07,2,4,0,11,0.18181818181818182,6,1,six_months,300.80748627597126,0.2692267681986045,False,False,True,False,True,False,False,False,False,0,winter,False,False,False,True,1,890.8397011802841
City Hotel,0,137,2023,May,5,2,23,2,13,4,0,1,SC,GBR,Corporate,Direct,0,1,3,G,A,0,No Deposit,3.0,7.0,18,Transient,263.092735165606,0,0,Check-Out,2023-10-14,31.23709063964733,121.54047253258696,2023-05-23,1,2,0,15,0.13333333333333333,5,1,three_months,280.51644474451695,0.9378870297790214,False,False,True,False,True,False,False,False,False,0,spring,False,True,False,False,0,3946.3910274840896
City Hotel,1,117,2022,October,10,9,29,1,0,2,2,1,SC,CHN,Groups,TA/TO,0,2,0,G,D,3,No Deposit,6.0,5.0,12,Transient,439.8333914626194,1,3,Canceled,2022-01-06,31.10002029621028,121.43733445513396,2022-10-29,5,4,1,1,1.0,5,1,three_months,289.2942120238467,1.5203670629482338,False,False,True,False,False,False,True,False,False,0,autumn,True,False,False,False,0,439.8333914626194
Resort Hotel,1,307,2022,June,6,13,26,4,0,2,1,0,HB,PRT,Online TA,Direct,0,2,1,C,D,2,No Deposit,7.0,5.0,9,Transient,126.00910517818546,2,1,Canceled,2022-03-09,31.249942633829736,121.51109574171562,2022-06-26,6,2,1,4,1.0,3,1,six_months,268.8770278595702,0.46864957628138404,False,False,True,False,False,False,False,False,True,0,summer,False,False,True,False,1,504.03642071274186
City Hotel,1,271,2022,December,12,3,19,3,2,3,3,0,HB,GBR,Online TA,TA/TO,0,2,3,F,A,0,No Deposit,2.0,5.0,5,Transient-Party,422.58889955483545,0,1,Canceled,2022-07-29,31.17034615674932,121.49783729993366,2022-12-19,0,4,0,5,0.6,6,1,six_months,300.80748627597126,1.4048483459854377,False,False,False,True,False,False,False,False,True,0,winter,False,False,False,True,1,2112.9444977741773
Resort Hotel,0,262,2023,March,3,39,16,4,8,1,0,0,FB,GBR,Offline TA,Direct,0,1,3,B,C,3,No Deposit,6.0,5.0,25,Transient,81.9004541756896,2,2,Check-Out,2023-06-14,31.23744922877821,121.47507515670144,2023-03-16,3,1,0,12,0.3333333333333333,1,0,six_months,295.855907985199,0.27682548147656694,False,False,True,False,False,False,False,True,False,0,spring,False,True,False,False,0,982.8054501082752
Resort Hotel,0,62,2022,August,8,34,1,4,10,2,3,0,FB,DEU,Offline TA,Direct,0,2,3,D,C,2,No Deposit,13.0,5.0,13,Transient-Party,395.1947254289617,2,1,Check-Out,2023-07-22,31.119582496317616,121.53646789879691,2022-08-01,0,3,0,14,0.2857142857142857,5,1,one_month,274.1590766754122,1.4414796337268394,False,False,False,True,False,False,False,True,False,0,summer,False,False,True,False,1,5532.726156005464
Resort Hotel,1,13,2022,April,4,33,10,1,12,3,2,1,BB,USA,Online TA,Direct,0,0,1,A,F,3,No Deposit,14.0,5.0,4,Transient,405.6606707972563,1,1,Canceled,2022-02-28,31.235078557084936,121.55053440618188,2022-04-10,6,2,1,13,0.07692307692307693,6,1,one_week,277.36235236957344,1.4625657279425248,False,False,True,False,False,False,False,False,True,0,spring,False,True,False,False,0,5273.5887203643315
Resort Hotel,0,212,2022,April,4,26,21,2,14,2,2,0,SC,CHN,Groups,Direct,0,1,4,H,E,1,No Deposit,13.0,5.0,16,Transient-Party,489.0299399954603,1,4,Check-Out,2022-12-15,31.173452923038347,121.54519852713196,2022-04-21,3,2,0,16,0.125,4,1,six_months,277.36235236957344,1.763144622251577,False,False,False,True,False,False,True,False,False,0,spring,False,True,False,False,0,7824.479039927365
City Hotel,0,108,2023,May,5,44,1,1,14,1,3,1,FB,PRT,Offline TA,TA/TO,0,1,3,F,E,0,Non Refund,1.0,8.0,4,Transient,411.01599632272286,1,4,Check-Out,2022-05-31,31.199004506880907,121.45096967906828,2023-05-01,0,2,0,15,0.06666666666666667,5,1,three_months,280.51644474451695,1.4652117693030782,False,False,True,False,False,False,False,True,False,0,spring,False,True,False,False,0,6165.239944840843
City Hotel,0,145,2023,December,12,31,19,1,10,4,3,1,HB,GBR,Offline TA,Direct,0,0,2,E,G,0,No Deposit,15.0,5.0,18,Transient-Party,432.9042445730502,2,4,Check-Out,2022-02-19,31.1626206417435,121.50463649745888,2023-12-19,1,4,0,11,0.09090909090909091,8,1,three_months,300.80748627597126,1.4391405278254572,False,False,False,True,False,False,False,True,False,0,winter,False,False,False,True,1,4761.946690303553
Resort Hotel,0,28,2022,November,11,39,12,2,1,4,3,0,BB,ESP,Direct,Direct,0,2,1,H,F,2,Refundable,18.0,5.0,2,Transient,426.655812381965,2,0,Check-Out,2023-06-21,31.14151780755244,121.48517048586956,2022-11-12,5,4,1,3,0.6666666666666666,7,1,one_week,291.7169324824849,1.4625678693079704,False,False,True,False,False,True,False,False,False,0,autumn,True,False,False,False,0,1279.967437145895
City Hotel,0,29,2022,August,8,52,7,2,2,2,3,0,BB,USA,Groups,Direct,0,1,1,B,D,3,Refundable,5.0,5.0,6,Transient,245.16362796213087,1,3,Check-Out,2022-08-26,31.2795033373124,121.49985827913626,2022-08-07,6,3,1,4,0.5,5,1,one_week,272.03898069668134,0.9012077141822701,False,False,True,False,False,False,True,False,False,0,summer,False,False,True,False,1,980.6545118485235
Resort Hotel,1,185,2022,January,1,18,13,3,5,1,0,1,SC,CHN,Offline TA,Corporate,0,1,3,A,C,3,No Deposit,4.0,5.0,3,Transient,429.6038652127837,1,4,Canceled,2023-11-13,31.299359260686757,121.5861100365886,2022-01-13,3,1,0,8,0.375,2,1,six_months,279.1492093590357,1.538975754934833,False,False,True,False,False,False,False,True,False,0,winter,False,False,False,True,1,3436.8309217022697
Resort Hotel,0,92,2022,November,11,23,20,1,12,4,3,0,SC,ITA,Online TA,Direct,0,2,0,E,D,2,No Deposit,12.0,5.0,24,Transient,211.4173033220817,0,3,Check-Out,2022-10-08,31.171555295191265,121.40378060536698,2022-11-20,6,4,1,13,0.07692307692307693,7,1,three_months,291.7169324824849,0.7247344249884278,False,False,True,False,False,False,False,False,True,0,autumn,True,False,False,False,0,2748.424943187062
City Hotel,0,68,2023,February,2,15,27,0,9,2,3,0,SC,PRT,Offline TA,Direct,0,1,2,B,C,0,No Deposit,2.0,5.0,14,Transient,71.62269780751718,1,1,Check-Out,2022-09-05,31.204007030715644,121.47833002284932,2023-02-27,0,1,0,9,0.0,5,1,one_month,292.99685199897476,0.24444869396674543,False,False,True,False,False,False,False,True,False,0,winter,False,False,False,True,1,644.6042802676546
Resort Hotel,0,101,2022,June,6,44,23,2,3,1,3,0,FB,ESP,Groups,TA/TO,0,1,0,C,E,2,No Deposit,6.0,5.0,6,Transient,91.407653451922,1,2,Check-Out,2023-09-30,31.20472298621336,121.513350620366,2022-06-23,3,2,0,5,0.4,4,1,three_months,268.8770278595702,0.3399608147247991,False,False,True,False,False,False,True,False,False,0,summer,False,False,True,False,1,457.03826725961
Resort Hotel,0,104,2023,April,4,24,5,4,0,2,2,0,HB,USA,Offline TA,TA/TO,0,2,1,F,A,2,No Deposit,11.0,5.0,8,Transient,429.6052598615565,2,4,Check-Out,2023-12-23,31.106162558777704,121.5599052168523,2023-04-05,2,2,0,4,1.0,4,1,three_months,277.36235236957344,1.5488953572513904,False,False,True,False,False,False,False,True,False,0,spring,False,True,False,False,0,1718.421039446226
City Hotel,0,32,2023,September,9,49,17,3,4,1,2,0,BB,ESP,Offline TA,Direct,0,0,2,G,A,2,No Deposit,4.0,5.0,1,Transient,118.44533414823164,1,4,Check-Out,2023-03-12,31.274960001965475,121.48765108087342,2023-09-17,6,3,1,7,0.42857142857142855,3,1,one_month,273.82474692349155,0.43255891032130145,False,False,True,False,False,False,False,True,False,0,autumn,True,False,False,False,0,829.1173390376215
City Hotel,1,83,2022,September,9,2,12,4,5,3,1,0,HB,CHN,Offline TA,Direct,0,1,3,E,D,3,No Deposit,6.0,5.0,8,Transient,432.8454680779867,2,0,Canceled,2022-01-01,31.2045746352463,121.5861936688055,2022-09-12,0,3,0,9,0.4444444444444444,4,1,one_month,273.82474692349155,1.58073904181833,False,False,True,False,False,False,False,True,False,0,autumn,True,False,False,False,0,3895.6092127018806
Resort Hotel,1,276,2022,April,4,7,19,1,8,2,2,1,SC,DEU,Online TA,Corporate,0,2,2,A,B,1,No Deposit,16.0,5.0,14,Transient,342.81010924422026,1,4,Canceled,2022-10-31,31.279450732268284,121.40518047359102,2022-04-19,1,2,0,9,0.1111111111111111,5,1,six_months,277.36235236957344,1.2359648175590914,False,False,True,False,False,False,False,False,True,0,spring,False,True,False,False,0,3085.2909831979823
Resort Hotel,0,39,2023,January,1,45,21,1,8,2,3,1,HB,USA,Offline TA,TA/TO,0,2,3,H,C,0,No Deposit,20.0,5.0,1,Transient,232.6209615731438,1,2,Check-Out,2022-03-24,31.26930783319592,121.5604843484124,2023-01-21,5,1,1,9,0.1111111111111111,6,1,one_month,279.1492093590357,0.8333212266918935,False,False,True,False,False,False,False,True,False,0,winter,False,False,False,True,1,2093.588654158294
City Hotel,0,203,2022,March,3,31,19,2,0,2,3,0,HB,DEU,Online TA,TA/TO,0,2,2,D,C,4,No Deposit,5.0,5.0,27,Transient,479.0510981313783,0,1,No-Show,2022-06-26,31.179031880160725,121.49670445702137,2022-03-19,5,1,1,2,1.0,5,1,six_months,272.9333938998365,1.7551941566636755,False,False,True,False,False,False,False,False,True,0,spring,False,True,False,False,0,958.1021962627566
City Hotel,1,21,2022,December,12,39,12,3,3,2,3,1,SC,CHN,Groups,TA/TO,0,2,2,E,A,0,No Deposit,7.0,10.0,8,Transient,234.9781596640556,0,1,Canceled,2022-04-04,31.116377647589733,121.58685488993302,2022-12-12,0,4,0,6,0.5,6,1,one_week,300.80748627597126,0.7811579511305062,False,False,True,False,False,False,True,False,False,0,winter,False,False,False,True,1,1409.8689579843335
Resort Hotel,0,323,2023,March,3,33,6,4,4,2,0,1,BB,DEU,Offline TA,TA/TO,0,1,1,H,C,2,No Deposit,12.0,5.0,25,Transient-Party,70.22191526108554,1,1,Check-Out,2023-04-16,31.19034720570217,121.51823182379198,2023-03-06,0,1,0,8,0.5,3,1,six_months,295.855907985199,0.23735174240495,False,False,False,True,False,False,False,True,False,0,spring,False,True,False,False,0,561.7753220886843
Resort Hotel,1,296,2022,November,11,12,21,4,2,1,0,0,SC,ITA,Offline TA,TA/TO,0,1,0,E,C,1,No Deposit,13.0,5.0,0,Transient,397.48951447647016,2,1,Canceled,2022-11-29,31.284623379467583,121.47325173655558,2022-11-21,0,4,0,6,0.6666666666666666,1,0,six_months,291.7169324824849,1.3625863644385334,False,False,True,False,False,False,False,True,False,0,autumn,True,False,False,False,0,2384.937086858821
City Hotel,0,128,2023,October,10,26,30,0,1,4,0,1,HB,USA,Corporate,Direct,0,1,1,G,A,3,No Deposit,14.0,5.0,15,Transient,442.8936111918732,2,1,Check-Out,2023-09-28,31.17249611685724,121.42184562299938,2023-10-30,0,4,0,1,0.0,5,1,three_months,289.2942120238467,1.5309452895496065,False,False,True,False,True,False,False,False,False,0,autumn,True,False,False,False,0,442.8936111918732
Resort Hotel,0,207,2022,November,11,46,25,3,1,1,2,0,BB,FRA,Offline TA,Direct,1,1,2,C,H,3,No Deposit,16.0,5.0,27,Transient-Party,66.34822321611188,1,4,Check-Out,2022-08-27,31.11877335685766,121.42740340567356,2022-11-25,4,4,0,4,0.75,3,1,six_months,291.7169324824849,0.2274404253859879,False,False,False,True,False,False,False,True,False,1,autumn,True,False,False,False,0,265.3928928644475
Resort Hotel,0,80,2022,May,5,19,12,1,14,3,2,0,SC,DEU,Groups,TA/TO,0,1,0,A,C,3,No Deposit,1.0,5.0,11,Transient,88.30598226710259,1,1,Check-Out,2022-12-17,31.24207591803517,121.44114419728918,2022-05-12,3,2,0,15,0.06666666666666667,5,1,one_month,271.9629902531011,0.3246985267551332,False,False,True,False,False,False,True,False,False,0,spring,False,True,False,False,0,1324.589734006539
Resort Hotel,1,242,2022,August,8,3,24,4,10,1,0,1,FB,DEU,Corporate,Corporate,0,2,1,B,B,2,Refundable,17.0,5.0,20,Transient-Party,114.49717681094072,0,2,Canceled,2022-04-28,31.17250003350303,121.46028547770774,2022-08-24,2,3,0,14,0.2857142857142857,2,1,six_months,274.1590766754122,0.4176304436073749,False,False,False,True,True,False,False,False,False,0,summer,False,False,True,False,1,1602.96047535317
Resort Hotel,0,182,2023,December,12,39,11,0,4,3,2,0,HB,CHN,Groups,Corporate,0,0,4,C,D,2,No Deposit,15.0,5.0,28,Transient,420.95191823966434,2,0,Check-Out,2022-07-17,31.11748738151293,121.5110059254916,2023-12-11,0,4,0,4,0.0,5,1,six_months,281.1258555305912,1.4973788783858684,False,False,True,False,False,False,True,False,False,0,winter,False,False,False,True,1,1683.8076729586573
City Hotel,1,4,2023,August,8,38,28,0,1,3,3,1,SC,DEU,Groups,Direct,0,1,3,E,A,0,No Deposit,17.0,5.0,23,Transient-Party,339.674163349156,1,4,Canceled,2023-08-05,31.22641739170104,121.40215083284866,2023-08-28,0,3,0,1,0.0,7,1,last_minute,272.03898069668134,1.248623129226788,False,False,False,True,False,False,True,False,False,0,summer,False,False,True,False,1,339.674163349156
City Hotel,1,198,2023,July,7,25,26,1,12,3,2,1,SC,GBR,Offline TA,Corporate,0,0,4,C,H,0,No Deposit,4.0,5.0,27,Transient,164.27348414650527,0,3,Canceled,2023-05-16,31.143495203583505,121.46019169235184,2023-07-26,2,3,0,13,0.07692307692307693,6,1,six_months,274.8043908521611,0.5977833310344772,False,False,True,False,False,False,False,True,False,0,summer,False,False,True,False,1,2135.5552939045683
Resort Hotel,0,351,2023,May,5,20,16,1,0,1,0,1,FB,DEU,Offline TA,Direct,0,0,0,F,C,4,No Deposit,10.0,5.0,2,Contract,350.6244941873013,1,3,Check-Out,2022-08-27,31.179560601224832,121.53880315445114,2023-05-16,1,2,0,1,1.0,2,1,six_months,271.9629902531011,1.2892360606161677,True,False,False,False,False,False,False,True,False,0,spring,False,True,False,False,0,350.6244941873013
City Hotel,0,131,2022,August,8,16,19,3,6,1,2,0,FB,GBR,Groups,Direct,0,0,0,H,B,0,Refundable,17.0,2.0,24,Transient,135.86372125157294,1,1,Check-Out,2023-01-30,31.166018726499143,121.408007415934,2022-08-19,4,3,0,9,0.3333333333333333,3,1,three_months,272.03898069668134,0.4994274015570533,False,False,True,False,False,False,True,False,False,0,summer,False,False,True,False,1,1222.7734912641565
Resort Hotel,0,253,2022,August,8,11,9,3,13,1,0,0,HB,ESP,Online TA,Corporate,0,1,0,G,B,2,No Deposit,13.0,5.0,16,Contract,446.17274146426513,1,4,Check-Out,2022-03-02,31.168389638448,121.55400537628262,2022-08-09,1,3,0,16,0.1875,1,0,six_months,274.1590766754122,1.627422833760513,True,False,False,False,False,False,False,False,True,0,summer,False,False,True,False,1,7138.763863428242
Resort Hotel,1,167,2022,May,5,12,30,3,12,3,2,1,FB,ITA,Corporate,Direct,0,0,2,H,D,0,No Deposit,1.0,5.0,28,Group,223.10878953539455,2,1,Canceled,2023-03-02,31.25806509460975,121.53169503832788,2022-05-30,0,2,0,15,0.2,6,1,three_months,271.9629902531011,0.8203645258046302,False,True,False,False,True,False,False,False,False,0,spring,False,True,False,False,0,3346.6318430309184
Resort Hotel,1,286,2023,May,5,35,2,2,12,4,0,1,SC,ESP,Corporate,Direct,0,0,4,F,G,0,No Deposit,1.0,5.0,5,Transient,128.52158219804562,1,0,Canceled,2022-12-04,31.19610702578345,121.44725915517068,2023-05-02,1,2,0,14,0.14285714285714285,5,1,six_months,271.9629902531011,0.4725701172738158,False,False,True,False,True,False,False,False,False,0,spring,False,True,False,False,0,1799.3021507726387
City Hotel,0,243,2023,June,6,27,13,4,14,2,0,0,HB,DEU,Online TA,Corporate,0,1,2,C,D,4,No Deposit,14.0,5.0,19,Transient,372.0021186228302,2,4,Check-Out,2022-06-15,31.28214027397464,121.52188004351537,2023-06-13,1,2,0,18,0.2222222222222222,2,0,six_months,278.5631512174122,1.3354319011579927,False,False,True,False,False,False,False,False,True,0,summer,False,False,True,False,1,6696.038135210943
Resort Hotel,0,137,2023,June,6,19,30,4,0,3,3,1,FB,USA,Offline TA,Corporate,1,2,4,C,C,0,Refundable,3.0,5.0,23,Group,182.34870440934796,2,3,Check-Out,2023-05-13,31.15179004114154,121.44724466455916,2023-06-30,4,2,0,4,1.0,7,1,three_months,268.8770278595702,0.6781862543667565,False,True,False,False,False,False,False,True,False,1,summer,False,False,True,False,1,729.3948176373918
Resort Hotel,0,271,2023,December,12,22,5,4,9,2,2,0,HB,FRA,Online TA,TA/TO,0,0,3,B,F,0,No Deposit,2.0,5.0,13,Transient,205.56739114013837,2,0,Check-Out,2023-07-18,31.241669057418648,121.56583967147824,2023-12-05,1,4,0,13,0.3076923076923077,4,1,six_months,281.1258555305912,0.731229045980686,False,False,True,False,False,False,False,False,True,0,winter,False,False,False,True,1,2672.376084821799
Resort Hotel,0,218,2023,March,3,50,6,4,4,2,2,0,FB,ITA,Offline TA,Direct,0,1,1,H,F,4,Refundable,5.0,5.0,17,Transient,316.10323257121934,1,3,Check-Out,2022-03-16,31.25264744461115,121.51151860040532,2023-03-06,0,1,0,8,0.5,4,1,six_months,295.855907985199,1.0684364382780325,False,False,True,False,False,False,False,True,False,0,spring,False,True,False,False,0,2528.8258605697547
City Hotel,0,217,2022,June,6,2,25,4,9,1,3,1,SC,ITA,Groups,TA/TO,0,1,2,C,D,2,No Deposit,3.0,5.0,29,Transient-Party,52.564922855065575,0,3,Check-Out,2023-02-26,31.25055826498634,121.4142692266216,2022-06-25,5,2,1,13,0.3076923076923077,5,1,six_months,278.5631512174122,0.1887002018226016,False,False,False,True,False,False,True,False,False,0,summer,False,False,True,False,1,683.3439971158525
City Hotel,1,41,2022,November,11,28,18,1,6,4,1,0,HB,FRA,Corporate,Corporate,0,2,2,H,A,2,No Deposit,10.0,5.0,17,Transient,419.7062202162538,2,0,Canceled,2022-05-10,31.25314576990615,121.4461995684637,2022-11-18,4,4,0,7,0.14285714285714285,5,1,one_month,259.72367910568494,1.6159721041279025,False,False,True,False,True,False,False,False,False,0,autumn,True,False,False,False,0,2937.943541513777
City Hotel,0,54,2022,August,8,10,22,2,7,3,1,1,FB,CHN,Online TA,Direct,0,0,3,C,A,3,No Deposit,14.0,5.0,6,Group,166.56584958599376,1,2,Check-Out,2022-09-13,31.29711875251761,121.44671679063572,2022-08-22,0,3,0,9,0.2222222222222222,5,1,one_month,272.03898069668134,0.6122866993525158,False,True,False,False,False,False,False,False,True,0,summer,False,False,True,False,1,1499.092646273944
Resort Hotel,0,201,2023,May,5,6,16,1,12,1,0,1,BB,ESP,Groups,Corporate,0,2,0,F,E,3,No Deposit,11.0,5.0,16,Transient,116.62583339232872,2,3,Check-Out,2023-02-19,31.143005805588277,121.52939610736212,2023-05-16,1,2,0,13,0.07692307692307693,2,1,six_months,271.9629902531011,0.4288297951268716,False,False,True,False,False,False,True,False,False,0,spring,False,True,False,False,0,1516.1358341002733
City Hotel,0,213,2022,August,8,36,21,1,2,3,2,1,HB,CHN,Groups,Corporate,0,2,0,E,C,4,No Deposit,19.0,5.0,17,Transient,222.31116380692552,0,2,Check-Out,2022-04-23,31.11273922716389,121.43689630139582,2022-08-21,6,3,1,3,0.3333333333333333,6,1,six_months,272.03898069668134,0.8172033406300642,False,False,True,False,False,False,True,False,False,0,summer,False,False,True,False,1,666.9334914207766
Resort Hotel,0,91,2023,April,4,5,6,1,9,1,1,1,SC,FRA,Offline TA,Direct,0,2,3,A,G,4,No Deposit,2.0,5.0,18,Transient,481.0583588444727,2,4,Check-Out,2022-03-17,31.126147971017065,121.49767377018516,2023-04-06,3,2,0,10,0.1,3,1,three_months,277.36235236957344,1.7344039475245114,False,False,True,False,False,False,False,True,False,0,spring,False,True,False,False,0,4810.583588444727
Resort Hotel,0,153,2022,October,10,7,12,3,6,3,0,0,SC,GBR,Online TA,Direct,0,2,4,B,A,3,No Deposit,11.0,2.0,4,Transient,75.55627415455841,0,0,Check-Out,2022-03-17,31.12650899254215,121.41611237631128,2022-10-12,2,4,0,9,0.3333333333333333,3,0,three_months,281.86645522625616,0.2680569920741681,False,False,True,False,False,False,False,False,True,0,autumn,True,False,False,False,0,680.0064673910257
