hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_month_num,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,latitude,longitude,arrival_date,arrival_dayofweek,arrival_quarter,arrival_is_weekend,total_nights,weekend_ratio,total_guests,has_children
City Hotel,0,32,2023,September,9,49,17,3,4,1,2,0,BB,ESP,Offline TA,Direct,0,0,2,G,A,2,No Deposit,4.0,5.0,1,Transient,118.44533414823164,1,4,Check-Out,2023-03-12,31.274960001965475,121.48765108087342,2023-09-17,6,3,1,7,0.42857142857142855,3,1
City Hotel,1,83,2022,September,9,2,12,4,5,3,1,0,HB,CHN,Offline TA,Direct,0,1,3,E,D,3,No Deposit,6.0,5.0,8,Transient,432.8454680779867,2,0,Canceled,2022-01-01,31.2045746352463,121.5861936688055,2022-09-12,0,3,0,9,0.4444444444444444,4,1
Resort Hotel,1,276,2022,April,4,7,19,1,8,2,2,1,SC,DEU,Online TA,Corporate,0,2,2,A,B,1,No Deposit,16.0,5.0,14,Transient,342.81010924422026,1,4,Canceled,2022-10-31,31.279450732268284,121.40518047359102,2022-04-19,1,2,0,9,0.1111111111111111,5,1
Resort Hotel,0,39,2023,January,1,45,21,1,8,2,3,1,HB,USA,Offline TA,TA/TO,0,2,3,H,C,0,No Deposit,20.0,5.0,1,Transient,232.6209615731438,1,2,Check-Out,2022-03-24,31.26930783319592,121.5604843484124,2023-01-21,5,1,1,9,0.1111111111111111,6,1
City Hotel,0,203,2022,March,3,31,19,2,0,2,3,0,HB,DEU,Online TA,TA/TO,0,2,2,D,C,4,No Deposit,5.0,5.0,27,Transient,479.0510981313783,0,1,No-Show,2022-06-26,31.179031880160725,121.49670445702137,2022-03-19,5,1,1,2,1.0,5,1
City Hotel,1,21,2022,December,12,39,12,3,3,2,3,1,SC,CHN,Groups,TA/TO,0,2,2,E,A,0,No Deposit,7.0,10.0,8,Transient,234.9781596640556,0,1,Canceled,2022-04-04,31.116377647589733,121.58685488993302,2022-12-12,0,4,0,6,0.5,6,1
Resort Hotel,0,323,2023,March,3,33,6,4,4,2,0,1,BB,DEU,Offline TA,TA/TO,0,1,1,H,C,2,No Deposit,12.0,5.0,25,Transient-Party,70.22191526108554,1,1,Check-Out,2023-04-16,31.19034720570217,121.51823182379198,2023-03-06,0,1,0,8,0.5,3,1
Resort Hotel,1,296,2022,November,11,12,21,4,2,1,0,0,SC,ITA,Offline TA,TA/TO,0,1,0,E,C,1,No Deposit,13.0,5.0,0,Transient,397.48951447647016,2,1,Canceled,2022-11-29,31.284623379467583,121.47325173655558,2022-11-21,0,4,0,6,0.6666666666666666,1,0
City Hotel,0,128,2023,October,10,26,30,0,1,4,0,1,HB,USA,Corporate,Direct,0,1,1,G,A,3,No Deposit,14.0,5.0,15,Transient,442.8936111918732,2,1,Check-Out,2023-09-28,31.17249611685724,121.42184562299938,2023-10-30,0,4,0,1,0.0,5,1
Resort Hotel,0,207,2022,November,11,46,25,3,1,1,2,0,BB,FRA,Offline TA,Direct,1,1,2,C,H,3,No Deposit,16.0,5.0,27,Transient-Party,66.34822321611188,1,4,Check-Out,2022-08-27,31.11877335685766,121.42740340567356,2022-11-25,4,4,0,4,0.75,3,1
Resort Hotel,0,80,2022,May,5,19,12,1,14,3,2,0,SC,DEU,Groups,TA/TO,0,1,0,A,C,3,No Deposit,1.0,5.0,11,Transient,88.30598226710259,1,1,Check-Out,2022-12-17,31.24207591803517,121.44114419728918,2022-05-12,3,2,0,15,0.06666666666666667,5,1
Resort Hotel,1,242,2022,August,8,3,24,4,10,1,0,1,FB,DEU,Corporate,Corporate,0,2,1,B,B,2,Refundable,17.0,5.0,20,Transient-Party,114.49717681094072,0,2,Canceled,2022-04-28,31.17250003350303,121.46028547770774,2022-08-24,2,3,0,14,0.2857142857142857,2,1
Resort Hotel,0,182,2023,December,12,39,11,0,4,3,2,0,HB,CHN,Groups,Corporate,0,0,4,C,D,2,No Deposit,15.0,5.0,28,Transient,420.95191823966434,2,0,Check-Out,2022-07-17,31.11748738151293,121.5110059254916,2023-12-11,0,4,0,4,0.0,5,1
City Hotel,1,4,2023,August,8,38,28,0,1,3,3,1,SC,DEU,Groups,Direct,0,1,3,E,A,0,No Deposit,17.0,5.0,23,Transient-Party,339.674163349156,1,4,Canceled,2023-08-05,31.22641739170104,121.40215083284866,2023-08-28,0,3,0,1,0.0,7,1
City Hotel,1,198,2023,July,7,25,26,1,12,3,2,1,SC,GBR,Offline TA,Corporate,0,0,4,C,H,0,No Deposit,4.0,5.0,27,Transient,164.27348414650527,0,3,Canceled,2023-05-16,31.143495203583505,121.46019169235184,2023-07-26,2,3,0,13,0.07692307692307693,6,1
Resort Hotel,0,351,2023,May,5,20,16,1,0,1,0,1,FB,DEU,Offline TA,Direct,0,0,0,F,C,4,No Deposit,10.0,5.0,2,Contract,350.6244941873013,1,3,Check-Out,2022-08-27,31.179560601224832,121.53880315445114,2023-05-16,1,2,0,1,1.0,2,1
City Hotel,0,131,2022,August,8,16,19,3,6,1,2,0,FB,GBR,Groups,Direct,0,0,0,H,B,0,Refundable,17.0,2.0,24,Transient,135.86372125157294,1,1,Check-Out,2023-01-30,31.166018726499143,121.408007415934,2022-08-19,4,3,0,9,0.3333333333333333,3,1
Resort Hotel,0,253,2022,August,8,11,9,3,13,1,0,0,HB,ESP,Online TA,Corporate,0,1,0,G,B,2,No Deposit,13.0,5.0,16,Contract,446.17274146426513,1,4,Check-Out,2022-03-02,31.168389638448,121.55400537628262,2022-08-09,1,3,0,16,0.1875,1,0
Resort Hotel,1,167,2022,May,5,12,30,3,12,3,2,1,FB,ITA,Corporate,Direct,0,0,2,H,D,0,No Deposit,1.0,5.0,28,Group,223.10878953539455,2,1,Canceled,2023-03-02,31.25806509460975,121.53169503832788,2022-05-30,0,2,0,15,0.2,6,1
Resort Hotel,1,286,2023,May,5,35,2,2,12,4,0,1,SC,ESP,Corporate,Direct,0,0,4,F,G,0,No Deposit,1.0,5.0,5,Transient,128.52158219804562,1,0,Canceled,2022-12-04,31.19610702578345,121.44725915517068,2023-05-02,1,2,0,14,0.14285714285714285,5,1
City Hotel,0,243,2023,June,6,27,13,4,14,2,0,0,HB,DEU,Online TA,Corporate,0,1,2,C,D,4,No Deposit,14.0,5.0,19,Transient,372.0021186228302,2,4,Check-Out,2022-06-15,31.28214027397464,121.52188004351537,2023-06-13,1,2,0,18,0.2222222222222222,2,0
Resort Hotel,0,137,2023,June,6,19,30,4,0,3,3,1,FB,USA,Offline TA,Corporate,1,2,4,C,C,0,Refundable,3.0,5.0,23,Group,182.34870440934796,2,3,Check-Out,2023-05-13,31.15179004114154,121.44724466455916,2023-06-30,4,2,0,4,1.0,7,1
Resort Hotel,0,271,2023,December,12,22,5,4,9,2,2,0,HB,FRA,Online TA,TA/TO,0,0,3,B,F,0,No Deposit,2.0,5.0,13,Transient,205.56739114013837,2,0,Check-Out,2023-07-18,31.241669057418648,121.56583967147824,2023-12-05,1,4,0,13,0.3076923076923077,4,1
Resort Hotel,0,218,2023,March,3,50,6,4,4,2,2,0,FB,ITA,Offline TA,Direct,0,1,1,H,F,4,Refundable,5.0,5.0,17,Transient,316.10323257121934,1,3,Check-Out,2022-03-16,31.25264744461115,121.51151860040532,2023-03-06,0,1,0,8,0.5,4,1
City Hotel,0,217,2022,June,6,2,25,4,9,1,3,1,SC,ITA,Groups,TA/TO,0,1,2,C,D,2,No Deposit,3.0,5.0,29,Transient-Party,52.564922855065575,0,3,Check-Out,2023-02-26,31.25055826498634,121.4142692266216,2022-06-25,5,2,1,13,0.3076923076923077,5,1
City Hotel,1,41,2022,November,11,28,18,1,6,4,1,0,HB,FRA,Corporate,Corporate,0,2,2,H,A,2,No Deposit,10.0,5.0,17,Transient,419.7062202162538,2,0,Canceled,2022-05-10,31.25314576990615,121.4461995684637,2022-11-18,4,4,0,7,0.14285714285714285,5,1
City Hotel,0,54,2022,August,8,10,22,2,7,3,1,1,FB,CHN,Online TA,Direct,0,0,3,C,A,3,No Deposit,14.0,5.0,6,Group,166.56584958599376,1,2,Check-Out,2022-09-13,31.29711875251761,121.44671679063572,2022-08-22,0,3,0,9,0.2222222222222222,5,1
Resort Hotel,0,201,2023,May,5,6,16,1,12,1,0,1,BB,ESP,Groups,Corporate,0,2,0,F,E,3,No Deposit,11.0,5.0,16,Transient,116.62583339232872,2,3,Check-Out,2023-02-19,31.143005805588277,121.52939610736212,2023-05-16,1,2,0,13,0.07692307692307693,2,1
City Hotel,0,213,2022,August,8,36,21,1,2,3,2,1,HB,CHN,Groups,Corporate,0,2,0,E,C,4,No Deposit,19.0,5.0,17,Transient,222.31116380692552,0,2,Check-Out,2022-04-23,31.11273922716389,121.43689630139582,2022-08-21,6,3,1,3,0.3333333333333333,6,1
Resort Hotel,0,91,2023,April,4,5,6,1,9,1,1,1,SC,FRA,Offline TA,Direct,0,2,3,A,G,4,No Deposit,2.0,5.0,18,Transient,481.0583588444727,2,4,Check-Out,2022-03-17,31.126147971017065,121.49767377018516,2023-04-06,3,2,0,10,0.1,3,1
Resort Hotel,0,153,2022,October,10,7,12,3,6,3,0,0,SC,GBR,Online TA,Direct,0,2,4,B,A,3,No Deposit,11.0,2.0,4,Transient,75.55627415455841,0,0,Check-Out,2022-03-17,31.12650899254215,121.41611237631128,2022-10-12,2,4,0,9,0.3333333333333333,3,0
City Hotel,0,52,2023,January,1,49,30,1,13,3,2,1,FB,USA,Direct,Direct,1,0,2,A,G,0,No Deposit,10.0,5.0,29,Transient,181.2916410890377,0,4,Check-Out,2022-11-11,31.200691335260974,121.42031354488944,2023-01-30,0,1,0,14,0.07142857142857142,6,1
City Hotel,0,236,2022,November,11,40,16,1,14,4,3,0,HB,CHN,Groups,Direct,1,0,3,G,H,2,No Deposit,16.0,5.0,3,Contract,77.59852510996316,2,2,Check-Out,2023-12-02,31.245006987275296,121.49317887233516,2022-11-16,2,4,0,15,0.06666666666666667,7,1
Resort Hotel,0,322,2023,April,4,5,3,3,0,1,3,1,HB,FRA,Online TA,Direct,0,0,0,H,F,4,No Deposit,8.0,5.0,11,Transient,398.01303809548494,2,3,No-Show,2023-05-25,31.15271706813633,121.447173335403,2023-04-03,0,2,0,3,1.0,5,1
Resort Hotel,1,28,2022,April,4,32,12,2,1,2,3,1,BB,USA,Direct,TA/TO,0,0,4,F,C,4,No Deposit,6.0,5.0,25,Transient,457.1193139622708,1,4,Canceled,2022-10-19,31.263918466169947,121.41051933155572,2022-04-12,1,2,0,3,0.6666666666666666,6,1
Resort Hotel,1,274,2022,October,10,23,24,2,8,3,2,1,SC,GBR,Direct,Direct,0,0,3,H,A,3,Non Refund,18.0,5.0,28,Transient,343.435015134094,1,4,Canceled,2023-06-17,31.247969332954348,121.44160826947936,2022-10-24,0,4,0,10,0.2,6,1
City Hotel,1,195,2022,April,4,32,12,0,6,4,3,1,BB,ESP,Corporate,TA/TO,0,1,4,E,C,2,No Deposit,3.0,5.0,23,Contract,366.2791200871986,1,2,Canceled,2022-03-23,31.12989993198479,121.4521428470578,2022-04-12,1,2,0,6,0.0,8,1
City Hotel,1,286,2022,July,7,8,21,2,10,2,0,1,FB,PRT,Direct,TA/TO,0,1,4,C,D,1,No Deposit,17.0,5.0,10,Transient,454.68978468313657,1,4,Canceled,2022-07-19,31.27194284253232,121.5477253419998,2022-07-21,3,3,0,12,0.16666666666666666,3,1
City Hotel,0,40,2022,April,4,38,3,1,1,2,0,0,BB,USA,Direct,TA/TO,1,2,3,C,C,4,No Deposit,4.0,5.0,11,Transient,79.02431380836369,1,4,Check-Out,2022-01-19,31.287314082858902,121.48780089734616,2022-04-03,6,2,1,2,0.5,2,0
Resort Hotel,0,137,2022,March,3,20,19,2,4,4,1,1,HB,GBR,Corporate,Direct,1,2,1,F,G,2,No Deposit,11.0,5.0,6,Transient,57.101682461419685,1,0,Check-Out,2023-02-04,31.265022155484974,121.5399792179566,2022-03-19,5,1,1,6,0.3333333333333333,6,1
City Hotel,0,181,2023,April,4,42,21,4,11,2,2,1,FB,ITA,Offline TA,Direct,1,1,0,E,A,1,No Deposit,20.0,5.0,24,Transient,216.51380208263797,1,2,Check-Out,2022-12-03,31.24475259537752,121.54896075281316,2023-04-21,4,2,0,15,0.26666666666666666,5,1
Resort Hotel,0,17,2023,May,5,18,28,2,7,3,3,1,FB,DEU,Online TA,TA/TO,0,1,4,C,E,4,Refundable,12.0,5.0,3,Transient,219.59211733666595,0,2,Check-Out,2023-03-27,31.107144202196302,121.4575693600861,2023-05-28,6,2,1,9,0.2222222222222222,7,1
Resort Hotel,0,341,2022,July,7,48,5,3,11,3,2,0,SC,FRA,Online TA,TA/TO,0,1,0,C,D,3,No Deposit,8.0,5.0,20,Transient,184.1735468480397,2,4,Check-Out,2023-01-07,31.15491957595794,121.46424675575032,2022-07-05,1,3,0,14,0.21428571428571427,5,1
City Hotel,0,23,2023,January,1,36,3,1,3,1,3,0,HB,DEU,Offline TA,TA/TO,0,1,0,H,A,1,No Deposit,11.0,5.0,4,Transient,236.58360865519143,0,4,Check-Out,2023-11-11,31.24553967094077,121.44817936103613,2023-01-03,1,1,0,4,0.25,4,1
City Hotel,0,195,2023,July,7,16,23,3,4,3,2,0,FB,DEU,Corporate,TA/TO,0,1,0,E,E,3,No Deposit,6.0,5.0,21,Transient,94.80489517584635,2,1,Check-Out,2022-01-03,31.17577629909249,121.534293367196,2023-07-23,6,3,1,7,0.42857142857142855,5,1
Resort Hotel,0,156,2023,January,1,6,10,3,8,1,2,1,BB,DEU,Groups,Direct,0,2,3,F,E,1,No Deposit,2.0,5.0,2,Transient,398.3960763686905,0,2,Check-Out,2022-11-10,31.1840186803654,121.52539836679084,2023-01-10,1,1,0,11,0.2727272727272727,4,1
City Hotel,0,272,2022,September,9,28,3,4,9,2,0,1,SC,USA,Online TA,Direct,0,0,1,H,G,0,No Deposit,2.0,5.0,7,Contract,90.47075422757108,2,0,Check-Out,2022-03-01,31.27437805579814,121.42464651402577,2022-09-03,5,3,1,13,0.3076923076923077,3,1
Resort Hotel,0,233,2023,May,5,3,8,3,11,2,0,1,HB,DEU,Corporate,TA/TO,0,1,2,E,A,2,Refundable,6.0,5.0,9,Contract,202.58115569746067,0,4,Check-Out,2023-11-24,31.158642753763427,121.43968824274975,2023-05-08,0,2,0,14,0.21428571428571427,3,1
City Hotel,0,219,2023,November,11,14,12,4,14,3,3,1,HB,USA,Corporate,Corporate,0,2,4,D,F,3,No Deposit,6.0,3.0,5,Transient,112.5068970859944,2,3,Check-Out,2023-10-07,31.25375706382838,121.42356170550784,2023-11-12,6,4,1,18,0.2222222222222222,7,1
City Hotel,0,66,2023,September,9,32,17,3,14,3,0,1,FB,FRA,Groups,Direct,0,0,3,C,G,3,Refundable,3.0,5.0,15,Transient,281.73209743160464,1,2,Check-Out,2022-04-18,31.1011112746215,121.56132043742494,2023-09-17,6,3,1,17,0.17647058823529413,4,1
Resort Hotel,0,216,2023,September,9,41,27,3,7,2,1,1,HB,PRT,Offline TA,Direct,0,0,2,B,A,3,No Deposit,7.0,5.0,17,Transient,154.73400864685706,1,2,Check-Out,2023-01-26,31.21963681354725,121.59089008391918,2023-09-27,2,3,0,10,0.3,4,1
City Hotel,0,147,2022,May,5,5,18,0,2,4,3,1,FB,DEU,Direct,Direct,1,1,2,E,H,2,No Deposit,12.0,5.0,9,Contract,323.8673380115332,2,1,Check-Out,2022-11-12,31.295621998804787,121.45046342920344,2022-05-18,2,2,0,2,0.0,8,1
Resort Hotel,0,251,2023,September,9,14,18,4,13,2,3,1,BB,USA,Corporate,TA/TO,0,0,2,G,H,0,No Deposit,20.0,5.0,15,Transient-Party,454.9507644976894,1,2,Check-Out,2022-12-17,31.1417894377748,121.40099165948442,2023-09-18,0,3,0,17,0.23529411764705882,6,1
City Hotel,0,258,2023,January,1,13,23,2,12,4,1,1,BB,DEU,Groups,Corporate,0,2,1,F,G,2,Refundable,15.0,5.0,7,Transient,457.107610303903,2,0,Check-Out,2023-03-06,31.127842726055487,121.57632223885972,2023-01-23,0,1,0,14,0.14285714285714285,6,1
City Hotel,0,1,2022,October,10,22,15,0,3,4,3,0,BB,ITA,Online TA,Corporate,0,0,0,H,B,2,Non Refund,17.0,5.0,17,Contract,89.02708153256198,2,1,Check-Out,2023-06-07,31.219627349747057,121.56185336639224,2022-10-15,5,4,1,3,0.0,7,1
City Hotel,0,153,2023,July,7,15,12,0,13,2,3,1,FB,GBR,Offline TA,Direct,0,0,1,C,A,2,Refundable,13.0,5.0,6,Transient,381.5839005703944,0,2,Check-Out,2022-06-21,31.281644546135464,121.49466568337088,2023-07-12,2,3,0,13,0.0,6,1
Resort Hotel,0,116,2023,March,3,15,13,2,5,3,3,1,BB,ITA,Offline TA,TA/TO,0,0,0,B,F,4,No Deposit,7.0,5.0,21,Transient,441.172983438284,1,0,Check-Out,2023-08-08,31.291536573663247,121.40600739388714,2023-03-13,0,1,0,7,0.2857142857142857,7,1
Resort Hotel,1,326,2023,October,10,34,21,0,0,3,3,0,FB,DEU,Corporate,TA/TO,0,2,3,A,F,0,Refundable,2.0,5.0,27,Transient,305.57859735901303,2,2,Canceled,2023-05-25,31.22687948839765,121.59948767173827,2023-10-21,5,4,1,0,0.0,6,1
City Hotel,0,108,2023,February,2,24,21,3,0,4,1,0,SC,CHN,Groups,Corporate,0,1,1,H,H,3,No Deposit,4.0,5.0,4,Transient,85.45723170078938,2,1,Check-Out,2022-06-05,31.11653375551304,121.54917948750168,2023-02-21,1,1,0,3,1.0,5,1
Resort Hotel,1,161,2022,January,1,18,22,3,5,2,0,1,BB,DEU,Offline TA,Corporate,0,1,1,C,H,0,No Deposit,18.0,5.0,8,Transient,289.89916544617773,2,0,Canceled,2023-02-17,31.156862200814277,121.55359565426969,2022-01-22,5,1,1,8,0.375,3,1
